0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
114312662654155,IRO3SAIZ0001,وسپهر,سرمايه گذاري مالي سپهرصادرات,120452,6870,6880,6870,1720,4791823,33040375220,6850,7030,6870,1093,12000000,3982,2,56,7280.00,6460.00,30000000000,303
204092872752957,IRO3SDFZ0001,شصدف,صنعتي دوده فام,120440,32750,32750,32600,551,578275,18944789050,32500,33300,32950,2429,455236,3724,2,44,34550.00,31350.00,700000000,303
318005355896147,IRO7PFSP0001,فسا,پتروشيمي فسا,115105,825,820,801,142,3006492,2420885705,801,826,825,-3,12121213,2731,4,44,849.00,801.00,3486000000,309
611986653700161,IRO3SBZZ0001,سبزوا,سيمان لار سبزوار,120447,3726,3630,3480,2365,62189129,225766526699,3406,3726,3516,256,1,5246,2,53,3726.00,3306.00,3757797579,303
655060129740445,IRO1OPAL0001,اپال,فرآوري معدني اپال كاني پارس,120420,19450,19560,19100,463,345141,6644610330,19040,19510,19580,2446,6128703,3193,1,13,20550.00,18610.00,20000000000,300
793710053482057,IRO7PYAP0001,لپيام,گسترش صنايع پيام,100308,22950,23650,22950,4,975,22376250,22950,22950,23650,300,422833,2738,4,32,24350.00,22950.00,180000000,309
831325835570803,IRO7CNAP0001,ثنام,س ساختماني ب نام آوران مهندسي,120441,5047,4954,5047,105,750319,3786859993,5047,5047,4900,9,2040817,3026,4,70,5047.00,4753.00,500000000,309
917857106093847,IRO3HPRZ0001,حپارسا,توسعه حمل و نقل ريلي پارسيان,120418,36150,36600,37000,114,104379,3857313300,36150,37500,36500,5754,410959,3078,2,60,38650.00,34350.00,250000000,303
1003140298418024,IRO1KHFZ0002,كحافظ2,كاشي‌ وسراميك‌ حافظ‌,110522,5000,5000,5000,1,51000000,255000000000,5000,5000,4990,279,1,319,1,49,5239.00,4741.00,5141234000,300
1301069819790264,IRO3TMMZ0001,تجلي,تجلي توسعه معادن و فلزات,120430,1510,1489,1483,1344,31082848,46285891830,1481,1510,1499,31,1,4094,2,13,1573.00,1425.00,62000000000,303
1438514795814416,IRT1YGHT0001,ياقوت,صندوق س ياقوت آگاه-ثابت,120417,15091,15092,15095,469,16725029,252413096582,15091,15097,15077,,1,2093,1,68,16584.00,13570.00,4000000000,305
1625149423498289,IRO3SMBZ0001,حسينا,توسعه خدمات دريايي وبندري سينا,120503,46700,48850,49400,489,951603,46506162600,46700,49400,46650,5788,1,2845,2,60,49400.00,43900.00,500000000,303
1822787329898392,IRO3CHPZ0001,كلر,كلر پارس,120505,73050,72350,71300,991,525429,38026185600,71250,74550,74000,5285,1,4278,2,44,78400.00,69600.00,327500000,303
2161110547458064,IRT3SEDF0001,سپيدما,صندوق س. سپيد دماوند-د,120357,12836,12836,12836,151,5209617,66871078426,12836,12837,12812,,1,1839,2,68,14093.00,11531.00,6000000000,305
2254054929817435,IRO1KDPS0001,غدام,خوراك‌  دام‌ پارس‌,120500,50200,49430,48500,1213,978087,48348929940,47470,51680,49640,290,302176,4506,1,42,52120.00,47160.00,160000000,300
2318736941376687,IRO7SDRP0001,خصدرا,صنعتي‌ دريايي‌ ايران‌,120459,1610,1631,1620,1003,21523116,35107180883,1608,1654,1606,53,10488423,3984,4,45,1654.00,1558.00,26221057000,309
2328862017676109,IRO1SPAH0001,وسپه,سرمايه‌گذاري‌ سپه‌,120505,4700,4703,4610,585,8349512,39063566744,4610,4888,4903,761,9360000,4077,1,56,5197.00,4609.00,23400000000,300
2400322364771558,IRO1TAMN0001,شستا,سرمايه گذاري تامين اجتماعي,120505,943,949,945,8756,402934152,382486581086,943,963,948,139,126582278,8016,1,39,995.00,901.00,1636013456000,300
2434703913394836,IRO1DMOR0001,غدشت,دشت‌ مرغاب‌,120500,24500,24450,24420,933,4125588,100878093240,23900,24510,23350,565,642398,4272,1,42,24510.00,22190.00,681919542,300
2589887561569709,IRO1ZMYD0001,خزاميا,زامياد,120459,12700,12850,12880,938,8531687,109665430260,12540,12880,12270,291,2211957,7317,1,34,12880.00,11660.00,5529892000,300
2944500421562364,IRO1TOSA0001,وتوصا,گروه س توسعه صنعتي ايران,120404,8700,8720,8740,653,5336941,46559993280,8600,8980,8780,758,1708428,4202,1,56,9300.00,8260.00,4000000000,300
3050342257199174,IRO7NJSP0001,قنقش,قند نقش جهان,120246,112800,117300,117350,84,59643,6997425800,112800,117350,115050,-791,55600,2633,4,38,117350.00,112750.00,139000000,309
3149396562827132,IRO1LIRZ0001,وايران,ليزينگ ايرانيان,120358,2661,2806,2828,579,11715136,32877221957,2571,2828,2668,217,5622189,3216,1,58,2828.00,2508.00,1630000000,300
3173544097113770,IRO7STNP0001,شستان,پتروشيمي گلستان,120500,4301,4251,4270,92,504495,2166209045,4233,4303,4219,11,1185115,2439,4,44,4303.00,4135.00,473000000,309
3407806799514469,IRO3URPZ0001,شاروم,پتروشيمي اروميه,120458,14610,14660,14510,1245,845070,12392094270,14450,14940,15130,971,1,3545,2,44,15880.00,14380.00,700000000,303
3492952121304423,IRO3PKDZ0001,غديس,پاكديس,120329,11290,11290,11270,266,1009908,11416918930,11100,11560,11250,1279,1333334,3259,2,42,11920.00,10580.00,1169538892,303
3493306453706327,IRO1SHOY0001,شوينده,مديريت صنعت شوينده ت.ص.بهشهر,120346,17500,17180,16820,358,496669,8488393450,16810,17880,17290,2249,867553,3628,1,44,18320.00,16260.00,1000000000,300
3623921205367364,IRO1DMVN0001,كدما,معدني‌ دماوند,120505,69640,67750,66480,2872,2211386,149817765760,66460,69880,69950,354,214439,5056,1,13,73440.00,66460.00,250000000,300
3654864906585643,IRO1TKNO0001,تكنو,تكنوتار,114906,7800,7440,7800,10,37122,289551600,7800,7800,7430,-84,2018843,3304,1,29,7800.00,7060.00,245549000,300
3722699128879020,IRO1TAYD0001,حتايد,تايدواترخاورميانه,120151,5470,5440,5350,589,5535946,30101616360,5330,5550,5300,1011,2830189,3553,1,60,5610.00,4990.00,7035988643,300
3846143218462419,IRT1AFRN0001,افران,صندوق س افرا نماد پايدار-ثابت,120501,16712,16712,16713,2364,49459558,826586792655,16712,16715,16684,,1,2649,1,68,18352.00,15016.00,4000000000,305
3863538898378476,IRO1MSKN0001,ثمسكن,سرمايه‌گذاري‌ مسكن‌,120457,3422,3369,3305,310,5894981,19861093596,3271,3480,3305,57,4538578,3141,1,70,3503.00,3107.00,6300000000,300
4159532151694984,IRO7FBSP0001,فبستم,صنايع ‌بسته‌بندي‌ مشهد,120504,17260,17730,17260,26,63781,1100860060,17260,17260,17790,179,562114,2572,4,28,18320.00,17260.00,282711334,309
4247709727327181,IRO3KARZ0001,مفاخر,توسعه فناوري اطلاعات خوارزمي,61123,0,38350,38250,0,0,0,0,0,38350,-512,1,4316,2,72,40650.00,36050.00,170000000,303
4267564158935326,IRO7BSOP0001,قيستو,شركت قند بيستون,112327,19370,18960,19370,16,145375,2815913750,19370,19370,18810,1674,531633,3058,4,38,19370.00,18250.00,480000000,309
4369934250728330,IRO1ZARM0001,غزر,صنعتي زر ماكارون,120459,8710,9070,9100,3638,13934834,126353218540,8710,9130,8700,541,3200000,4360,1,42,9130.00,8270.00,8000000000,300
4384288570322406,IRO1EXIR0001,دلر,داروسازي‌ اكسير,120440,20230,19990,19670,310,574392,11406469220,19550,20230,20230,3593,900000,3006,1,43,21240.00,19220.00,2250000000,300
4395741730355818,IRT3VC090001,استارز,ص.ج.ستاره برتر20%تاديه,61133,0,117640,118300,0,0,0,0,0,117640,,1,1893,2,68,129404.00,105876.00,1000000,305
4470657233334072,IRO1SKHS0001,سخاش,سيمان‌خاش‌,120418,60900,58930,59100,484,378426,22300444070,58500,60900,61570,8003,243625,3202,1,53,64640.00,58500.00,200000000,300
4507558419857064,IRO3MACZ0001,زماهان,مجتمع توليد گوشت مرغ ماهان,120351,7110,7110,7190,255,994937,7147068990,6950,7350,7050,822,2127660,3550,2,01,7470.00,6630.00,1130000000,303
4528607775462304,IRO1SFNO0001,سفانو,سيمان فارس نو,120501,35610,34860,34900,190,644904,22480189340,34510,35990,36250,5366,413793,3161,1,53,38420.00,34080.00,500000000,300
4563413583000719,IRO1SDAB0001,ساراب,سيمان‌ داراب‌,120317,16150,16650,16380,85,85307,1391178960,16150,16600,16690,2284,898742,2891,1,53,17690.00,15690.00,1260000000,300
4580070394108829,IRT3KARF0004,كارا4,صندوق س. كارا -د,100137,11606,11606,11606,1,25840000,299899040000,11606,11606,11589,,1,373,2,68,12219.00,10004.00,100000000,305
4614779520007780,IRO1ARDK0001,كسرا,سراميك‌هاي‌صنعتي‌اردكان‌,120430,7260,7250,7290,697,12705504,92117771180,7150,7430,7230,461,2074689,3976,1,54,7660.00,6800.00,3671273000,300
4733285133017464,IRO1FKAS0001,فخاس,فولاد خراسان,120257,20610,21070,20500,217,315803,6492921540,20350,21080,21110,2651,4737091,2716,1,27,22160.00,20060.00,11900000000,300
4758266259250794,IRO1SZPO0001,خپويش,سازه‌ پويش‌,120408,18770,19090,18920,562,2557148,48815213840,18770,19160,18250,932,821918,3400,1,34,19160.00,17340.00,1764061944,300
4942127026063388,IRO1BAMA0001,كاما,باما,120501,5980,5860,5800,2252,16341954,95739002260,5770,6060,6080,339,4000000,5112,1,13,6440.00,5720.00,10000000000,300
5051727550286539,IRT3SOVF0002,ثبات2,صندوق س. ثبات ويستا -د,90340,1,1,1,19,90400000,90400000,1,1,11796,,1,365,2,68,1.00,1.00,4000000000,305
5054819322815158,IRO1MAGS0001,زمگسا,كشاورزي‌ ودامپروي‌ مگسال‌,120252,20900,20950,20950,418,959506,20101866440,20500,21500,20910,0,717360,3500,1,01,21950.00,19870.00,300000000,300
5128151910501174,IRO7HFZP0001,وحافظ,بيمه حافظ,115408,12860,12840,12810,453,4527811,58125121850,12810,13480,13200,52,757576,3222,4,66,13590.00,12810.00,500000000,309
5187018329202415,IRO1PELC0001,لپارس,پارس‌ الكتريك‌,120506,87000,85290,83750,3295,1899059,161962359930,83740,89000,88140,1382,170184,4860,1,32,92540.00,83740.00,300000000,300
5305844922895340,IRO3AVLZ0001,داوه,داروسازي آوه سينا,120245,6750,6900,6780,108,372891,2553879920,6750,6990,6910,310,2170768,2806,2,43,7320.00,6500.00,696000000,303
5317427172344706,IRO3HEDZ0001,هجرت,پخش هجرت,120451,17720,17230,17010,110,415062,7106826460,16980,17720,17330,2623,865552,2934,2,43,18190.00,16470.00,1600000000,303
5427792638736934,IRO3FAAZ0001,زفكا,كشت و دامداري فكا,120454,8100,8000,7850,410,2845907,22770329060,7850,8100,8060,0,1861043,3683,2,01,8540.00,7580.00,1500000000,303
5516102131364383,IRO3MNOZ0001,غمينو,شركت صنايع غذايي مينو شرق,120457,5330,5430,5400,362,3087090,16753528570,5310,5570,5430,579,1,3163,2,42,5750.00,5110.00,1500000000,303
5564768007356822,IRO3HRLZ0001,حريل,ريل پردازسير,120239,3000,3018,3010,326,5965833,18007262983,3000,3068,3009,195,4985045,3423,2,60,3189.00,2829.00,3732150000,303
5599691633622269,IRO3MLIZ0001,بخاور,بيمه زندگي خاورميانه,115729,2288,2254,2212,85,1001683,2241596669,2212,2288,2257,123,6645991,2782,2,66,2392.00,2122.00,2200000000,303
5866848234665627,IRO1DSBH0001,دسبحان,سبحان دارو,120348,7990,7780,7690,210,1334287,10269188930,7600,7990,7970,743,1882058,2592,1,43,8360.00,7580.00,2430000000,300
5920901446678689,IRO3TAVZ0001,وتعاون,بيمه تعاون,120412,1272,1301,1288,131,1860090,2393320469,1272,1302,1304,92,11503068,2446,2,66,1369.00,1239.00,5000000000,303
5987841496184505,IRO3TPEZ0001,شگويا,پتروشيمي تندگويان,120501,10560,10520,10470,2066,8548566,89731366020,10370,10720,10750,1371,9583067,5886,2,44,11280.00,10220.00,23957666000,303
6043384171800349,IRO1PMSZ0001,ثشرق,سرمايه گذاري مسكن شمال شرق,120407,3700,3643,3645,125,1312059,4755847388,3595,3700,3652,-45,4107338,2654,1,70,3834.00,3470.00,1100000000,300
6116572045021585,IRO3TJPZ0001,شجم,صنايع پتروشيمي تخت جمشيد,120501,9880,10160,9930,352,1728823,17565627730,9880,10550,10120,1078,1,2978,2,44,10620.00,9620.00,6500000000,303
6131290133202745,IRO1MRAM0001,غمهرا,توليدي‌مهرام‌,115356,12550,12550,12550,101,1612378,20235343900,12550,12550,11960,912,1254181,2917,1,42,12550.00,11370.00,1000000000,300
6478064539164167,IRO3RPEZ0001,ريشمك,توليد و صادرات ريشمك,120418,20400,20710,20770,350,968559,20058080940,20070,20770,19600,940,1,3722,2,43,20770.00,18430.00,300000000,303
6506179926371994,IRO7PAIP0001,آريان,سرمايه گذاري پارس آريان,115838,7500,7540,7500,211,1520895,11360141980,7400,7700,7550,108,15894040,3684,4,56,7770.00,7330.00,40000000000,309
6757220448540984,IRO1SIMS0001,سشمال,سيمان‌ شمال‌,120328,9060,9040,8830,192,1179496,10629091780,8810,9150,9100,1128,1648352,5350,1,53,9640.00,8560.00,1700000000,300
6847536925606808,IRO3MOIZ0001,ومعلم,بيمه معلم,120454,1910,1955,1920,120,1540553,2957782107,1880,1965,1964,160,7637475,2188,2,66,2062.00,1866.00,4194722000,303
7183333492448248,IRO1DARO0001,وپخش,داروپخش‌ (هلدينگ‌,120428,36100,36070,36180,118,201308,7243177690,34750,36200,36080,5296,1420000,2985,1,43,38240.00,33920.00,3550000000,300
7235435095059069,IRO1KVRZ0001,پكوير,كوير تاير,120450,4860,4979,4900,146,808363,4002093058,4860,5048,4990,567,3006012,2893,1,25,5289.00,4691.00,4360000000,300
7300125658580126,IRO3IKAZ0001,زكشت,كشاورزي مكانيزه اصفهان كشت,120238,18100,18990,18570,374,941568,17881836690,18000,19500,18500,0,1,3289,2,01,19610.00,17390.00,300000000,303
7385624172574740,IRO1RENA0001,ورنا,سرمايه‌گذاري‌ رنا(هلدينگ‌,120504,6640,6740,6730,3443,93184540,627610163630,6470,6740,6360,267,4670043,5493,1,34,6740.00,5980.00,11675108000,300
7395271748414592,IRO1IKHR0001,وخارزم,سرمايه گذاري خوارزمي,120506,4280,4486,4446,3668,56962794,255563108087,4280,4530,4274,925,7480000,5803,1,56,4530.00,4018.00,18700000000,300
7457232989848872,IRO1TMKH0001,خمحور,توليدمحورخودرو,120058,3108,3110,3115,351,8781597,27312064566,3015,3115,2967,35,5055612,4094,1,34,3115.00,2819.00,6325419000,300
7483280423474368,IRO1ATIR0001,خاهن,آهنگري‌ تراكتورسازي‌ ايران‌,120454,6170,6200,6120,490,3415033,21079148780,6040,6370,6230,466,5767443,3564,1,34,6600.00,5860.00,14418606750,300
7503669593172728,IRO7SESP0001,ثاصفا,شركت‌ ساختمان‌ اصفهان‌,120435,10940,11170,11220,204,1618989,18085920670,10860,11350,11190,-24,800000,3051,4,70,11520.00,10860.00,160000000,309
7628308021169118,IRO3KAHZ0001,بكهنوج,توليد برق ماهتاب كهنوج,120256,1188,1183,1178,405,12435520,14714264989,1161,1203,1203,-640,12468828,2973,2,40,1263.00,1143.00,16050495533,303
7670135462634715,IRT3GONF0001,گنبد,صندوق س. گنبد ميناي دماوند-م,104117,10938,10938,10938,3,3721,40700298,10938,10938,10987,,1,1834,2,68,12085.00,9889.00,200000000,305
7711282667602555,IRO1PARK0001,شاراك,پتروشيمي شازند,120505,45600,45310,44990,1405,3169649,143620261840,44970,45800,45610,6832,2192502,6383,1,44,48340.00,42880.00,8064000000,300
7745894403636165,IRO1PNES0001,شپنا,پالايش نفت اصفهان,120505,6840,6730,6660,7340,109759752,739104520840,6610,6870,6860,826,17492711,7660,1,23,7270.00,6450.00,190000000000,300
