0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
114312662654155,IRO3SAIZ0001,وسپهر,سرمايه گذاري مالي سپهرصادرات,122116,6870,6880,6860,1850,6259177,43094856830,6850,7030,6870,1093,12000000,3676,2,56,7280.00,6460.00,30000000000,303
204092872752957,IRO3SDFZ0001,شصدف,صنعتي دوده فام,122110,32750,32750,32450,632,639174,20924515050,32350,33300,32950,2429,455236,3493,2,44,34550.00,31350.00,700000000,303
318005355896147,IRO7PFSP0001,فسا,پتروشيمي فسا,121938,825,820,801,146,3052823,2457996836,801,826,825,-3,12121213,2599,4,44,849.00,801.00,3486000000,309
611986653700161,IRO3SBZZ0001,سبزوا,سيمان لار سبزوار,122032,3726,3628,3462,2486,63241171,229422182205,3406,3726,3516,256,1,4815,2,53,3726.00,3306.00,3757797579,303
655060129740445,IRO1OPAL0001,اپال,فرآوري معدني اپال كاني پارس,122115,19450,19560,19380,538,388356,7474550980,19040,19510,19580,2446,6128703,2998,1,13,20550.00,18610.00,20000000000,300
793710053482057,IRO7PYAP0001,لپيام,گسترش صنايع پيام,100308,22950,23650,22950,4,975,22376250,22950,22950,23650,300,422833,2608,4,32,24350.00,22950.00,180000000,309
831325835570803,IRO7CNAP0001,ثنام,س ساختماني ب نام آوران مهندسي,121959,5047,4957,5047,113,797197,4023453259,5047,5047,4900,9,2040817,2876,4,70,5047.00,4753.00,500000000,309
917857106093847,IRO3HPRZ0001,حپارسا,توسعه حمل و نقل ريلي پارسيان,121622,36150,36650,37000,134,136668,5042323500,36150,37500,36500,5754,410959,2701,2,60,38650.00,34350.00,250000000,303
1003140298418024,IRO1KHFZ0002,كحافظ2,كاشي‌ وسراميك‌ حافظ‌,110522,5000,5000,5000,1,51000000,255000000000,5000,5000,4990,279,1,325,1,49,5239.00,4741.00,5141234000,300
1301069819790264,IRO3TMMZ0001,تجلي,تجلي توسعه معادن و فلزات,122120,1510,1488,1481,1550,38031458,56579450730,1480,1510,1499,31,1,3954,2,13,1573.00,1425.00,62000000000,303
1438514795814416,IRT1YGHT0001,ياقوت,صندوق س ياقوت آگاه-ثابت,122117,15091,15092,15095,491,16875416,254683373601,15091,15097,15077,,1,1809,1,68,16584.00,13570.00,4000000000,305
